rank,influencer,category,followers,likes,comments,sentiment_score,sentiment_score
336,dipasqualeserena,fashion,2608,893,495,0.6874473252941713,0.6874473252941713
337,doorathea,other,2155,902,923,0.5773150081615694,0.5773150081615694
338,fishontheradio,family,1544,914,357,0.5244710507994811,0.5244710507994811
339,blayke.ryan,fashion,3036,1748,814,0.5755203309543859,0.5755203309543859
340,blackcatyoga,fitness,1035,1786,782,0.525948169725473,0.525948169725473
341,cheekymommaof2,travel,1058,991,1021,0.6385874823242316,0.6385874823242316
342,chewwwie,food,2181,345,487,0.6681562758010567,0.6681562758010567
343,davideercoli,travel,5036,643,348,0.5983616640915279,0.5983616640915279
344,by_fishingforcompliments,fashion,2279,2032,409,0.7612034301911013,0.7612034301911013
345,ariengabrielle,fashion,3489,914,1134,0.6606028179371329,0.6606028179371329
346,edithsahlberg,fashion,6843,271,709,0.6541577364550903,0.6541577364550903
347,alexiscastro_xo,beauty,1801,1998,778,0.7337603094820382,0.7337603094820382
348,anna_graziella,travel,1227,301,445,0.6559118599503696,0.6559118599503696
349,bruninha_sa,family,2169,440,908,0.5316216689562914,0.5316216689562914
350,djsnowtiger,pet,1169,1225,1238,0.48708717893372155,0.48708717893372155
351,fabinakaya,travel,1362,3583,762,0.6629152140272954,0.6629152140272954
352,aisha.uk,beauty,1204,666,779,0.6379353333546555,0.6379353333546555
353,ceciotta_,other,1056,1027,789,0.4801814964008109,0.4801814964008109
354,annabirgersson,fashion,5230,987,1364,0.5702488748395497,0.5702488748395497
355,aidasflaws,fashion,1531,287,357,0.701345385287903,0.701345385287903
356,ashthe_designer,fashion,1128,776,433,0.6711723137673192,0.6711723137673192
357,afizyassin,fashion,1040,706,521,0.5154942557680903,0.5154942557680903
358,copywritemag,other,1343,825,349,0.6157280635843606,0.6157280635843606
359,davidlautman,other,1471,256,516,0.581981896017955,0.581981896017955
360,erica_hjerpe,fashion,5642,713,1072,0.5648127738937417,0.5648127738937417
361,ashleehuff,fashion,3496,910,319,0.6191836833068666,0.6191836833068666
362,bennicullen,other,1300,498,319,0.6412497769145662,0.6412497769145662
363,ashiepowers,fashion,6179,953,720,0.5889313458764088,0.5889313458764088
364,breianna_,travel,3785,342,398,0.5475713044281532,0.5475713044281532
365,biancaxxfranco,fashion,9504,937,461,0.570870559337216,0.570870559337216
366,alexandrawlf,food,1699,410,430,0.6050284655935787,0.6050284655935787
367,ester_depret,family,1577,604,934,0.6562747384929396,0.6562747384929396
368,castyworld,travel,5645,800,389,0.7522682238893421,0.7522682238893421
369,charliepr1ce,travel,6771,1193,228,0.6878529428153203,0.6878529428153203
370,amandathriving,travel,1386,1443,2129,0.6571558741162922,0.6571558741162922
371,demijonk,fashion,4267,977,499,0.5979640164162071,0.5979640164162071
372,anjayven,travel,1204,937,362,0.7241387041807896,0.7241387041807896
373,documented.happiness,travel,2237,1417,390,0.7433550401439758,0.7433550401439758
374,atter.cliffe,travel,22944,274,552,0.631988175059355,0.631988175059355
375,annalisemacdonald,travel,3843,1057,320,0.7777143619237574,0.7777143619237574
376,fernwhelan,family,2220,994,772,0.5298928331620991,0.5298928331620991
377,andyuuki,family,1288,277,334,0.5896529783939211,0.5896529783939211
378,elikeny,fashion,2328,357,360,0.6851161619894375,0.6851161619894375
379,flxcuf,fashion,1348,489,276,0.4128383840917953,0.4128383840917953
380,devynleone,travel,1846,498,507,0.6214219349805307,0.6214219349805307
381,claudiacurac,fashion,2753,536,766,0.5489326523447993,0.5489326523447993
382,chanellle,fashion,5917,442,499,0.5483009664338688,0.5483009664338688
383,alsiafy,fashion,1053,1011,1799,0.7172990800358882,0.7172990800358882
384,alicorin,other,1172,707,1357,0.5913046303900337,0.5913046303900337
385,eastonspeedworks,other,1009,402,383,0.33051078969659897,0.33051078969659897
386,dpjmw5,other,1714,1606,998,0.5573698456703895,0.5573698456703895
387,ailinhyde,fashion,2497,742,634,0.7131040309439468,0.7131040309439468
388,eatnblogkarachi,food,2156,1587,481,0.5563959305282848,0.5563959305282848
389,chillinwithbernie,travel,7832,493,281,0.5658473450597852,0.5658473450597852
390,fitbits_,travel,2095,1364,1471,0.5204580808103351,0.5204580808103351
391,ashleysue,family,1073,590,744,0.5933703723133442,0.5933703723133442
392,fash.n.franzi,fashion,2219,674,582,0.8196543959230064,0.8196543959230064
393,amandapamblanco,fashion,2514,1461,635,0.6689441162804153,0.6689441162804153
394,bvilain,family,1594,914,1876,0.34887317693748765,0.34887317693748765
395,capt_morgzz,family,8477,932,462,0.5546991958482962,0.5546991958482962
396,camillasiber,travel,2347,493,376,0.6996652285794954,0.6996652285794954
397,brielle_davis_gmm,fashion,1104,375,460,0.8197621417401564,0.8197621417401564
398,caseysasser,family,2209,740,711,0.7164536402859819,0.7164536402859819
399,epens,beauty,1327,885,341,0.5568938228176548,0.5568938228176548
400,davidexplore,travel,11168,491,564,0.8033685681106248,0.8033685681106248
401,beatrice_smith,fashion,1671,641,412,0.5253816498182768,0.5253816498182768
402,adventuresofaspooniemom,other,1408,3604,425,0.3961867598497372,0.3961867598497372
403,cassonthetrack,fashion,3474,989,551,0.47123555609043055,0.47123555609043055
404,cammy_ebel,travel,2531,2059,298,0.5426686186755972,0.5426686186755972
405,ellisreed,travel,2396,2070,590,0.7019769339983973,0.7019769339983973
406,diamond.atx,fashion,5673,824,338,0.5761060349615135,0.5761060349615135
407,dannysancheesey,other,1061,994,778,0.4811729658219556,0.4811729658219556
408,catiecase,travel,1838,1805,1601,0.5709605183515482,0.5709605183515482
409,cookiecat.herine,fashion,3256,1175,339,0.7408282445101699,0.7408282445101699
410,dancingdominican,fashion,1339,554,430,0.6120817369326753,0.6120817369326753
411,alxndrhamilton,fitness,1397,1546,699,0.5955322424515607,0.5955322424515607
412,ammarhina,other,1035,103,535,0.6347552045587112,0.6347552045587112
413,david.juarez_,fashion,39614,472,297,0.5015519681066233,0.5015519681066233
414,feistyfoodie,food,2210,233,2149,0.5501438653393441,0.5501438653393441
415,emmadowney,travel,1747,644,667,0.5999531081340824,0.5999531081340824
416,brandon.suckz,beauty,2313,298,417,0.5538988395417033,0.5538988395417033
417,aberoiza,family,1132,1255,439,0.47040404897978116,0.47040404897978116
418,basicallybananaslook,fashion,3376,1211,472,0.6479971570707707,0.6479971570707707
419,avalonnadfalusi,fitness,19203,328,396,0.555942827808008,0.555942827808008
420,ezzajay,travel,3740,831,705,0.5107853299131511,0.5107853299131511
421,ciaraa.ob,travel,3032,714,304,0.6160643284789442,0.6160643284789442
422,emilyjobrien,fashion,3968,7469,647,0.5803274444145606,0.5803274444145606
423,desi_bly,travel,2246,847,277,0.35948237169337405,0.35948237169337405
424,ali_arrington,fashion,5985,1235,1175,0.6122070678719251,0.6122070678719251
425,candlewaxcosplay,fashion,1136,342,237,0.6863574120488368,0.6863574120488368
426,cortney.churchill,fashion,3376,2567,282,0.5780932321292283,0.5780932321292283
427,almiraprincesa,travel,3435,365,324,0.6895499291041122,0.6895499291041122
428,amandasmitthh,fashion,5405,504,577,0.7712998585542752,0.7712998585542752
429,danishiggy,pet,5586,384,738,0.6071278312593945,0.6071278312593945
430,elevationexp,travel,2826,3015,1407,0.44062733190677067,0.44062733190677067
431,carmenvalladolid_,beauty,3274,503,478,0.7177064262322671,0.7177064262322671
432,adamcantiello,travel,2337,940,816,0.5249481393246989,0.5249481393246989
433,a.a.brenner,other,1006,915,411,0.5726742185891156,0.5726742185891156
434,bitsofbianca,fashion,1570,697,426,0.7185601470546717,0.7185601470546717
435,condo29,other,1101,533,505,0.6600080609169799,0.6600080609169799
436,elliemaeford,beauty,1028,985,279,0.668856916726598,0.668856916726598
437,drinkswellwithothers,family,2407,3278,793,0.44759954883425146,0.44759954883425146
438,elijahyoon,travel,6121,899,447,0.6565044023436376,0.6565044023436376
439,_bysteffi,travel,1648,622,701,0.7123437033514068,0.7123437033514068
440,bitsofbrittany,fashion,2064,964,1721,0.6063543776104273,0.6063543776104273
441,bianca.k.linger,travel,3244,583,228,0.5485510875655529,0.5485510875655529
442,chaosofkyra,fashion,5882,986,726,0.6673231961042704,0.6673231961042704
443,drjay1,travel,1873,610,455,0.49315196900957226,0.49315196900957226
444,carlycatalana,fashion,6289,907,1377,0.6489871341568916,0.6489871341568916
445,bohemianfoodgasm,food,1365,364,724,0.43234325650607897,0.43234325650607897
446,bakeaman,family,1638,2570,595,0.5943589439482322,0.5943589439482322
447,fitbyamandamartin,fitness,1171,654,489,0.5055114473916571,0.5055114473916571
448,aliciazitka,travel,3619,607,326,0.7569937558685542,0.7569937558685542
449,danceloverun,fitness,4778,942,389,0.6474438133170641,0.6474438133170641
450,alexgagliano30,family,8342,1955,661,0.5306891445608687,0.5306891445608687
451,cinnamonviolin,fashion,1618,1033,376,0.6433825378671132,0.6433825378671132
452,findinginnerpearce,travel,2639,780,1519,0.6845770467077921,0.6845770467077921
453,eivapoppins,travel,2076,732,766,0.6046656820832574,0.6046656820832574
454,dompfan,travel,3365,841,1683,0.5416944709478966,0.5416944709478966
455,brandwerkmusic,other,1408,836,505,0.5981233904217558,0.5981233904217558
456,elettroshock,travel,3040,1253,640,0.7361563923085216,0.7361563923085216
457,_jcl,other,1055,471,725,0.4384291445539401,0.4384291445539401
458,dianelucille,fashion,1775,1289,595,0.48078700969959964,0.48078700969959964
459,aristailona,family,2464,1974,700,0.5848427170355369,0.5848427170355369
460,eatdrinkdc,food,24043,969,397,0.6088095039946397,0.6088095039946397
461,_danielglick,other,2192,1515,347,0.34722421609522436,0.34722421609522436
462,alisiaapricot,food,1308,342,548,0.7148347278195926,0.7148347278195926
463,carolinenicodemus,fashion,9941,1137,642,0.4421821516365649,0.4421821516365649
464,devdominguez,fashion,7184,1594,351,0.6279651400134988,0.6279651400134988
465,fashionnestaa_,fashion,8309,1037,484,0.781332022077021,0.781332022077021
466,dj_gigola,fashion,8886,795,339,0.4296913801963131,0.4296913801963131
467,caramonte,fashion,2163,1663,1420,0.587643383401593,0.587643383401593
468,annamariehall,fashion,6963,2064,344,0.5541728608973928,0.5541728608973928
469,elliotfitness,fitness,1169,868,800,0.528167394044318,0.528167394044318
470,cecerahoerason,fashion,2517,1335,715,0.5806799947789265,0.5806799947789265
471,amberrrwang,fashion,19852,465,995,0.6544620199864947,0.6544620199864947
472,davidhubacher,travel,26205,872,1266,0.703562117928781,0.703562117928781
473,betshudson,family,3223,982,1269,0.6191342315074607,0.6191342315074607
474,ejay_diamond1,fashion,3413,1087,316,0.6577600691836785,0.6577600691836785
475,blogflordepapel,travel,1186,489,477,0.5561750984723025,0.5561750984723025
476,erikak0chweser,fashion,1196,459,498,0.39613501469064927,0.39613501469064927
477,escuderocelyne,fashion,6876,833,704,0.7665176622451968,0.7665176622451968
478,allisoneschuster,other,2893,1019,1137,0.7074442738966088,0.7074442738966088
479,derchriskremer,travel,9771,510,1372,0.6998919675137689,0.6998919675137689
480,athehut,travel,2095,1321,5330,0.45295848782849496,0.45295848782849496
481,brightwhitewolf,fashion,3042,565,450,0.8193183983765348,0.8193183983765348
482,andreeabelc,family,1126,596,1833,0.6863266961467194,0.6863266961467194
483,_catpeterson,family,4399,45,448,0.7004465486039864,0.7004465486039864
484,emsheedy,travel,3869,645,664,0.5622149182669917,0.5622149182669917
485,aaron_and_gavin,family,1081,1060,353,0.7241369301506716,0.7241369301506716
486,danijackel,fashion,8607,965,363,0.48886497999448497,0.48886497999448497
487,elcin_mirzeyevofficiall,family,1708,91,298,0.41733895259318693,0.41733895259318693
488,figudam,travel,1272,1129,3843,0.325653920101213,0.325653920101213
489,andrewquo,fashion,22152,287,295,0.5277055959938297,0.5277055959938297
490,esmee.joyce,fashion,5144,1426,287,0.6944410414808768,0.6944410414808768
491,brezzacucina,food,3446,1001,582,0.6813241775994523,0.6813241775994523
492,chadner,travel,1765,555,1362,0.5224665536505229,0.5224665536505229
493,annawickell,fashion,3516,980,459,0.640832736354882,0.640832736354882
494,aromibistrot,food,1246,1116,611,0.6887238846634919,0.6887238846634919
495,delicately,fashion,1254,795,1022,0.6248455758111193,0.6248455758111193
496,fonsecadeivid,family,1552,3516,361,0.6054787474733986,0.6054787474733986
497,_victoriagutierrez,fashion,4391,1381,1064,0.5738558390670839,0.5738558390670839
498,casarose,family,1371,1172,1323,0.6417401836233475,0.6417401836233475
499,chelseygifford,other,1912,995,466,0.6262410903647996,0.6262410903647996
500,andrea_plebe,travel,1338,2346,657,0.6513086117789253,0.6513086117789253
501,_wildwobs,fashion,1709,495,248,0.6678160654408009,0.6678160654408009
502,alyssamopia,fashion,3858,2679,697,0.7173315826611367,0.7173315826611367
503,abbywoodwear,fashion,2740,1267,1252,0.6452100166970783,0.6452100166970783
504,24k,other,3497,262,7050,0.6589816553876087,0.6589816553876087
505,andreabennettink,food,1637,767,370,0.6426559208693621,0.6426559208693621
506,courtzmelv,fashion,1764,1835,1218,0.8225886062614898,0.8225886062614898
507,calebwallace,travel,4764,740,841,0.6377746194988567,0.6377746194988567
508,elimeshrewsbury,fashion,10821,585,373,0.7118271222315173,0.7118271222315173
509,darrik_brower,other,1242,855,554,0.7340120576540158,0.7340120576540158
510,cathykhu,food,1553,718,839,0.4954348779897099,0.4954348779897099
511,angusnelson,other,1523,1200,1502,0.6124128450891837,0.6124128450891837
512,danielalouisee,fashion,6440,958,419,0.5824367553009417,0.5824367553009417
513,brittneyfhughes,fashion,2845,1506,362,0.5534336746849885,0.5534336746849885
514,anoushkarava,travel,2901,606,518,0.7128058339350385,0.7128058339350385
515,celinecortess,other,1179,969,354,0.6709050695946667,0.6709050695946667
516,cpaynne,travel,2234,266,465,0.647133101673963,0.647133101673963
517,brandonpeebles,fashion,6188,1064,522,0.44764158341098137,0.44764158341098137
518,ay_kell_em,family,4766,2539,1615,0.7229301825124828,0.7229301825124828
519,clairesfootsteps,travel,3117,3006,918,0.6434129384804288,0.6434129384804288
520,crime.fraiche,beauty,1397,1166,1187,0.41344644721190144,0.41344644721190144
521,bethanyhopeyoung,family,6235,383,664,0.7140880511956896,0.7140880511956896
522,coastwilde,fashion,2540,2684,265,0.47452294113437576,0.47452294113437576
523,_rachelsander,family,6151,663,433,0.6521938574854322,0.6521938574854322
524,andreakelley,fashion,2635,290,1689,0.6739286216575557,0.6739286216575557
525,entre2escales,travel,2724,1091,512,0.6466309364258912,0.6466309364258912
526,_laurenestes_,fashion,7605,1269,346,0.48866824519657853,0.48866824519657853
527,annikenbyberg,fashion,6590,613,1314,0.6411250424235385,0.6411250424235385
528,dollygirma,fashion,6676,389,285,0.70543611271133,0.70543611271133
529,dan_stagen,travel,8389,564,402,0.4847213994073895,0.4847213994073895
530,comeonayleen,family,2339,623,396,0.7074121138792635,0.7074121138792635
531,cassandralrosen,food,1694,3832,371,0.5277110642394689,0.5277110642394689
532,danieljackthomas,fitness,4676,722,310,0.48861425456196156,0.48861425456196156
533,emmacatherineyt,fashion,10461,1289,575,0.668045880932698,0.668045880932698
534,cassiecothern,family,12339,1592,307,0.5212919646547918,0.5212919646547918
535,demiplaras,fashion,177452,134,300,0.6323491610726392,0.6323491610726392
536,bite_with_me,food,5520,970,465,0.7189841195936905,0.7189841195936905
537,chanellespivak,fashion,9926,2560,305,0.6639319350742993,0.6639319350742993
538,buckbetty,fashion,10012,294,310,0.5966322000775901,0.5966322000775901
539,annie__clark,family,73901,571,1247,0.5427776304265017,0.5427776304265017
540,beaeks,fashion,8580,746,807,0.580990453752232,0.580990453752232
541,brwn.skn,beauty,5726,433,602,0.6880258856103565,0.6880258856103565
542,derinadetosoye,fashion,3923,999,588,0.6057230282930767,0.6057230282930767
543,confessions_from_my_walk_in,fashion,1312,1205,365,0.6302792052745413,0.6302792052745413
544,edition.makeityourown,other,1258,210,360,0.5935404805027481,0.5935404805027481
545,blogistiana,fashion,2935,1226,1585,0.7089576302095212,0.7089576302095212
546,alicepmb,fashion,6758,543,338,0.6285410103400374,0.6285410103400374
547,evewithcamera,travel,3902,267,336,0.736109617853473,0.736109617853473
548,albertevedel,fashion,1828,728,336,0.5596304244919834,0.5596304244919834
549,adeloo,fashion,13605,6992,1060,0.6592401747449995,0.6592401747449995
550,carrie_pendle,fashion,2946,1964,847,0.7509710841302866,0.7509710841302866
551,atomicmamma,food,1273,1249,457,0.5106569245554063,0.5106569245554063
552,andrayatighe,fashion,6462,663,191,0.5545317880427724,0.5545317880427724
553,bartonbarnabe,fashion,5240,860,2465,0.4684994129822709,0.4684994129822709
554,brennakatlynlyons,family,1226,878,343,0.7808842521156976,0.7808842521156976
555,dan.krauss,fashion,1084,959,1409,0.6478904081193376,0.6478904081193376
556,emilieildstein,fashion,6742,468,275,0.7194139304699045,0.7194139304699045
557,bethanialocke,fashion,6013,518,302,0.4879019446512589,0.4879019446512589
558,ellyberryyy,food,2014,557,1148,0.534627537996996,0.534627537996996
559,emmapapanicolaou,fashion,11063,1112,366,0.6245446644837406,0.6245446644837406
560,christinamariefuentes,travel,2278,1205,443,0.5697086272193779,0.5697086272193779
561,betheplebeian,fashion,4036,244,621,0.7212646514576461,0.7212646514576461
562,beauty_informer,beauty,9823,729,329,0.633433482839213,0.633433482839213
563,celebratelifesadventures,travel,1472,495,569,0.6662184970174985,0.6662184970174985
564,capturinghappiness.co,fashion,5425,790,848,0.718477819917614,0.718477819917614
565,agoudalife,food,1227,1097,696,0.6627450275235188,0.6627450275235188
566,chaz_cheung,family,1650,1225,598,0.37461375191672697,0.37461375191672697
567,dile624,fashion,13178,97,300,0.7115579903144428,0.7115579903144428
568,drewphillips09,family,237352,422,542,0.28550559967781314,0.28550559967781314
569,brookemason,family,15717,1052,432,0.565528153127897,0.565528153127897
570,chrisflanell,fashion,2782,1759,1100,0.4839513178314308,0.4839513178314308
571,brittlathrece,fashion,4113,455,416,0.7191312991831841,0.7191312991831841
572,devonlynnm,family,3952,590,3137,0.7145953310804483,0.7145953310804483
573,edmaughan,travel,4356,587,447,0.6609817976985323,0.6609817976985323
574,bymorgantyler,beauty,1601,237,330,0.5830158701362037,0.5830158701362037
575,chabnabbit,other,1281,993,819,0.3692961346258709,0.3692961346258709
576,alyssacherise,fashion,3709,1617,409,0.7441051368119588,0.7441051368119588
577,btch,fashion,12564,102,1185,0.26142196379955623,0.26142196379955623
578,amethyh,fashion,1216,186,415,0.6101653532088261,0.6101653532088261
579,elinemacornelia_,travel,1506,834,533,0.5498218386889687,0.5498218386889687
580,diannadiamonds15,beauty,32054,159,373,0.580735231326998,0.580735231326998
581,_moni_angel_,fashion,8037,734,1735,0.6829880539655255,0.6829880539655255
582,birgittesn,beauty,6576,829,347,0.5306418095695293,0.5306418095695293
583,evieneedstoeat,food,12708,3095,310,0.6846550634330363,0.6846550634330363
584,diva.diana,fashion,5407,801,304,0.6534013114588487,0.6534013114588487
585,dannyratcliffe,other,5660,394,376,0.49642391448904255,0.49642391448904255
586,bymosegibrand,fashion,3095,1654,361,0.664543542781101,0.664543542781101
587,2themtn,travel,20797,870,684,0.7190640129259741,0.7190640129259741
588,ashleyfetchyshyn,fashion,4476,512,257,0.5326413624676053,0.5326413624676053
589,babastudios,other,1324,825,375,0.6868063930246268,0.6868063930246268
590,aleksandraxo_,fashion,6592,1114,632,0.6932501687864937,0.6932501687864937
591,amymarieblack,fashion,5125,719,2667,0.6899141018352489,0.6899141018352489
592,domfaucher,travel,6793,1822,544,0.6465178779707434,0.6465178779707434
593,bnewfield,travel,10711,1002,1271,0.5107769193353733,0.5107769193353733
594,andreakvarme,travel,2031,375,378,0.5894274866835338,0.5894274866835338
595,be.brittany,fashion,2030,731,459,0.6552309815420178,0.6552309815420178
596,choosey_d,fashion,3036,1689,1180,0.40083304199916553,0.40083304199916553
597,chewbaccasbarbie,fashion,7499,452,264,0.5731233179796972,0.5731233179796972
598,chloebartlett15,fashion,6180,990,385,0.7736396929822675,0.7736396929822675
599,bitesofvncvr,food,6964,710,298,0.604759787618617,0.604759787618617
600,bradley_perrine,fashion,1670,982,275,0.6496678620468309,0.6496678620468309
601,feliciamay00,fashion,8279,1083,325,0.6580109577181069,0.6580109577181069
602,britt_gardiner,fashion,11331,816,238,0.7021602260273824,0.7021602260273824
603,coatesallie,fashion,5738,2572,656,0.5994498220708664,0.5994498220708664
604,daywithnika,travel,4048,715,601,0.49616122870457985,0.49616122870457985
605,_michelleforpresident_,fitness,1408,189,606,0.6907079373818548,0.6907079373818548
606,actorkevintan,other,1994,879,1200,0.5544939819021318,0.5544939819021318
607,chefjulie_rd,food,3041,1461,761,0.7111817333645407,0.7111817333645407
608,allyleeholcomb,family,12821,995,250,0.5761570120050453,0.5761570120050453
609,certifiedpastryaficionado,food,1568,652,318,0.7180468676240782,0.7180468676240782
610,clombardiseijo,travel,2485,1078,216,0.5677782211478238,0.5677782211478238
611,erika.quesnel,fashion,5402,1190,361,0.6519496652797147,0.6519496652797147
612,carlytamara,travel,1136,924,832,0.7634681770816828,0.7634681770816828
613,ameliaa.lee,other,1103,948,1437,0.5518627131418725,0.5518627131418725
614,eggyeol,fashion,12083,554,462,0.5599429918572025,0.5599429918572025
615,bethanyannhamm,beauty,5201,213,424,0.6617961506746877,0.6617961506746877
616,festivalredhead,beauty,6230,410,350,0.622002247749991,0.622002247749991
617,alessiabertino,travel,4454,687,350,0.6952480681482863,0.6952480681482863
618,_violetbanks,fashion,3277,535,781,0.557022496492043,0.557022496492043
619,alichannie,fashion,3299,1207,657,0.6978242889597497,0.6978242889597497
620,brisbanegirlsabroad,travel,8668,1339,235,0.7356604717249384,0.7356604717249384
621,explorewright,travel,10257,362,332,0.6965495320653208,0.6965495320653208
622,beautifuleffort,family,1689,886,884,0.5957852283483485,0.5957852283483485
623,dancinghotdogs,other,1230,657,2771,0.7426514294559917,0.7426514294559917
624,brielle.cherie,fashion,7240,329,255,0.7392793248382433,0.7392793248382433
625,alejandras_days,fashion,5131,392,304,0.7904322295416454,0.7904322295416454
626,danielgonzaleziglesias,family,20572,427,600,0.6036926881127656,0.6036926881127656
627,alleyesongregormcewan,food,7028,159,387,0.6233609667692087,0.6233609667692087
628,beerboysadl,family,8498,200,325,0.5493469525484166,0.5493469525484166
629,anniitron,fashion,4365,380,484,0.6948672906704332,0.6948672906704332
630,being__her,fashion,23322,943,371,0.7359737192337902,0.7359737192337902
631,adaddyblog,family,1274,931,1119,0.5965628982016121,0.5965628982016121
632,celinebramsen,fashion,10628,1160,637,0.6678090309377722,0.6678090309377722
633,annanyanna,fashion,4183,666,1163,0.5585024791793141,0.5585024791793141
634,branzoid,other,2119,1219,512,0.6985202550439741,0.6985202550439741
635,beverly_lo_reign,travel,2306,596,519,0.6966454334153606,0.6966454334153606
636,engeltoio,other,1531,840,1054,0.5503691640057174,0.5503691640057174
637,dayanalsuarez,fashion,1197,666,352,0.6221083025533467,0.6221083025533467
638,claireratinon,travel,2333,323,601,0.5788524059367538,0.5788524059367538
639,dianamaracuja,fashion,10083,789,934,0.5107420962837241,0.5107420962837241
640,by__elle,fashion,15733,462,1026,0.7252332264077889,0.7252332264077889
641,_gaiotti_,travel,5118,426,477,0.429818362276739,0.429818362276739
642,aluckmann,travel,1335,799,358,0.7030519609944662,0.7030519609944662
643,fabuluch,fashion,15837,212,432,0.588254793891565,0.588254793891565
644,br00x13,food,10566,928,747,0.5547833095955244,0.5547833095955244
645,chantrikeele,family,2933,695,2038,0.608158899599822,0.608158899599822
646,alejandro__calvo,fashion,9963,996,260,0.6469225623779891,0.6469225623779891
647,asmammalek,fashion,9746,379,642,0.5766076810498909,0.5766076810498909
648,_moni.j_,family,1757,988,723,0.6914051714416475,0.6914051714416475
649,elisekvamme,family,2551,1049,1349,0.7609387238590759,0.7609387238590759
650,bendavisradio,family,5886,152,1603,0.43215177029190405,0.43215177029190405
651,c_granadoss,other,1010,800,404,0.36539353878962016,0.36539353878962016
652,eeaagle,fashion,29593,150,303,0.5348528192970952,0.5348528192970952
653,bycarlosroberto,fashion,12292,426,372,0.6887353871147743,0.6887353871147743
654,cindylou_,family,2934,1417,1257,0.6898569041916814,0.6898569041916814
655,cu_atthegym,fitness,2281,364,548,0.6617327766652245,0.6617327766652245
656,adritomato,family,1366,892,362,0.5474120565182156,0.5474120565182156
657,being_bettina,fashion,2343,1370,314,0.6611489681111137,0.6611489681111137
658,emilyjayneellis,fashion,8012,697,487,0.47321302094691886,0.47321302094691886
659,erictuckerradio,travel,2255,376,400,0.6574192564984135,0.6574192564984135
660,anorganisedmessblog,travel,1119,675,695,0.6991075994415394,0.6991075994415394
661,djkfish,other,1540,801,578,0.3689116928876741,0.3689116928876741
662,duckleary,other,3550,607,571,0.489107452131863,0.489107452131863
663,bakergatherer,food,4056,288,820,0.5550568422552408,0.5550568422552408
664,carlyforniakush,travel,2337,1989,450,0.6765318686459172,0.6765318686459172
665,alybivins,travel,11459,197,253,0.7250849420776269,0.7250849420776269
666,___juli_________,family,5038,751,554,0.4949403136530166,0.4949403136530166
667,bombshellwifelife,family,4117,567,1163,0.5638653088110284,0.5638653088110284
668,clarity_engel,fashion,28176,994,549,0.6790881853417825,0.6790881853417825
